Group,Brain,Head_kidney
CTRL,0.001403937270714,0.00812149905036
CTRL,0.00690342870917,0.135753508307258
CTRL,0.004233974127318,0.0395688429566
CTRL,0.001188789443678,0.00270345520125
CTRL,0.00937479012948,0.002184850364219
CTRL,0.013995516447156,0.001420022627257
WD,0.0006870333885555,0.000400124794889
WD,0.0001168858824986,0.0001144226798413
WD,0.0002057723029842,0.001080996981214
WD,0.0001358971225886,0.000798540421897
WD,0.0001722369862857,0.000477298738971
